nombre,categoria,stock,precio
Laptop Pro 15,Electrónica,12,1299.99
Teclado Mecánico,Accesorios,45,89.5
Monitor 27 pulgadas,Electrónica,8,349
Mouse Inalámbrico,Accesorios,60,34.99
Webcam HD,Accesorios,23,79.99
Tablet X10,Electrónica,5,499
Silla Ergonómica,Muebles,15,220
Escritorio Ajustable,Muebles,7,380
Auriculares BT,Electrónica,30,129.99
Lámpara LED,Muebles,50,45
USB Hub 7 puertos,Accesorios,40,29.99
Impresora Láser,Electrónica,6,310
Disco Duro Externo 1TB,Electrónica,18,89.99
Memoria USB 64GB,Accesorios,75,14.5
Cable HDMI 2 metros,Accesorios,90,12.99
Soporte para Monitor,Accesorios,16,39.9
Parlante Bluetooth,Electrónica,20,69.99
Micrófono USB,Electrónica,14,99
Cargador Universal,Accesorios,33,27.5
Base Refrigerante para Laptop,Accesorios,19,32.99
Router WiFi 6,Electrónica,11,159.99
Extensor de Señal,Accesorios,17,49.9
Cámara de Seguridad,Electrónica,13,119
Proyector Portátil,Electrónica,4,420
Pantalla de Proyección,Accesorios,6,145
Smartwatch Active,Electrónica,22,179.99
Pulsera Inteligente,Electrónica,28,59.99
Cargador Inalámbrico,Accesorios,21,24.9
Funda para Tablet,Accesorios,34,18.75
Mochila para Laptop,Accesorios,26,54.99
Silla Gamer,Muebles,9,289
Mesa de Centro,Muebles,10,165
Archivador Metálico,Muebles,8,210
Estante Modular,Muebles,12,190
Cajonera de Oficina,Muebles,7,175.5
Librero de Madera,Muebles,5,260
Ventilador de Escritorio,Electrónica,24,38.9
Aire Acondicionado Portátil,Electrónica,3,899
Purificador de Aire,Electrónica,6,249.99
Luz Nocturna LED,Muebles,31,19.99
Calculadora Científica,Oficina,27,35
Trituradora de Papel,Oficina,4,129.9
Engrapadora Metálica,Oficina,40,11.5
Perforadora de Papel,Oficina,22,14.9
Pizarra Blanca,Oficina,9,85
Marcadores de Colores,Oficina,55,8.99
Organizador de Escritorio,Oficina,18,16.5
Silla de Oficina,Muebles,14,199.99
Mesa Plegable,Muebles,11,149.9
Lector de Código de Barras,Electrónica,10,110
Etiqueta Adhesiva,Oficina,120,3.99
Balanza Digital,Electrónica,7,74.99
Regleta de 6 tomas,Accesorios,29,21.9
Adaptador USB-C,Accesorios,36,17.99
Docking Station,Electrónica,5,189
Pantalla LED 24 pulgadas,Electrónica,9,229.99
Brazo Articulado para Monitor,Accesorios,8,68
Alfombrilla para Mouse,Accesorios,44,9.99
Teclado Inalámbrico,Accesorios,25,49.99
Mouse Gamer,Electrónica,17,59.9
Audífonos con Micrófono,Electrónica,19,84.5
Cámara Web Full HD,Electrónica,15,95
Hub USB-C 5 puertos,Accesorios,20,42
Disco SSD 500GB,Electrónica,16,79.99
Disco SSD 1TB,Electrónica,10,129.99
Lector de Tarjetas,Accesorios,32,13.5
Soporte para Laptop,Accesorios,24,28.99
Protector de Voltaje,Accesorios,18,26.75
Impresora Multifuncional,Electrónica,5,399
Escáner Portátil,Electrónica,6,155
Teléfono IP,Electrónica,13,89.9
